post_title,post_link,novel_title,novel_link
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303472,"Stellar step",https://www.wenku8.net/book/3590.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303471,"全班都被召唤到异世界去，只有我被留下来",https://www.wenku8.net/book/2821.htm
"第八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303470,"LV999的村民",https://www.wenku8.net/book/2422.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303419,"只向我展示羞耻姿态的学园公主大人",https://www.wenku8.net/book/4063.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303418,"【悲报】大小姐系垫底迷宫实况主没发现自己忘记关台就海扁同行",https://www.wenku8.net/book/3627.htm
"第九卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303417,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303360,"记忆书店浮光堂",https://www.wenku8.net/book/4062.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303359,"谜团的香气从面包店飘散而出",https://www.wenku8.net/book/4061.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303357,"毫无干劲的天才王子和冰之魔女的新娘课程",https://www.wenku8.net/book/4060.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303295,"假面骑士双集",https://www.wenku8.net/book/4059.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303294,"泪尽至死而幸福满溢的百合",https://www.wenku8.net/book/4057.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303293,"与全人类为敌",https://www.wenku8.net/book/4058.htm
"第八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303292,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第七卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303237,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第十一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303235,"关于我在无意间被隔壁的天使变成废柴这件事(关于邻家的天使大人不知不觉把我惯成了废人这档子事)",https://www.wenku8.net/book/2580.htm
"第八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303234,"我们不可能成为恋人！绝对不行。（※似乎可行？）(我怎么可能成为你的恋人，不行不行！)",https://www.wenku8.net/book/2751.htm
"外传 15",https://www.wenku8.net/modules/article/reviewshow.php?rid=303233,"在地下城寻求邂逅是否搞错了什么(期待在地下城邂逅有错吗)",https://www.wenku8.net/book/1508.htm
"第六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303183,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303145,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303144,"平民出身的帝国将官蹂躏无能的贵族上司出人头地",https://www.wenku8.net/book/4056.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303143,"所谓爱恋，无聊至极",https://www.wenku8.net/book/3798.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303100,"被召唤到异世界的我不能做色色事情的理由",https://www.wenku8.net/book/2646.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303099,"圣剑与魔龙的世界",https://www.wenku8.net/book/1545.htm
"BD特典",https://www.wenku8.net/modules/article/reviewshow.php?rid=303098,"不时轻声地以俄语遮羞的邻座艾莉同学(邻座的艾琳同学偶尔会用俄语悄悄撒娇)",https://www.wenku8.net/book/2930.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303097,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第七卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303052,"英雄王，为了穷尽武道而转生～而后成为世界最强见习骑士♀～",https://www.wenku8.net/book/2971.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=303051,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302993,"每遭放逐就能获得技能的我，在100个世界大开第二轮无双",https://www.wenku8.net/book/3454.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302992,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302990,"差点在迷宫深处被信任的伙伴杀掉，但靠着天赐技能「无限扭蛋」获得等级9999的伙伴，我要向前队友和世界展开复仇＆「给他们好看！」",https://www.wenku8.net/book/3334.htm
"第九卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302989,"Silent Witch 沉默魔女的秘密(沉默的魔女)",https://www.wenku8.net/book/2964.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302937,"野生的大魔王出现了!(野生的最终boss出现了)",https://www.wenku8.net/book/4055.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302936,"愿意认输的话，就让你摸个够喔？杂鱼",https://www.wenku8.net/book/4054.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302890,"异世界因果的见闻录",https://www.wenku8.net/book/1867.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302888,"世界末日的世界录",https://www.wenku8.net/book/1916.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302885,"我是星际国家的恶德领主！",https://www.wenku8.net/book/2956.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302837,"佐佐木与文鸟小哔",https://www.wenku8.net/book/3138.htm
"第十五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302836,"堤亚穆帝国物语 从断头台开始，公主重生后的逆转人生",https://www.wenku8.net/book/2844.htm
"第十三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302797,"靠废柴技能【状态异常】成为最强的我将蹂躏一切",https://www.wenku8.net/book/2552.htm
"第五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302743,"Sugar Apple Fairy Tale 砂糖林檎童话故事(砂糖苹果童话故事)",https://www.wenku8.net/book/1581.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302700,"在男女比1：5的世界里你以为还能正常生活吗？～当感情浓烈的女孩们被无自觉男生耍得团团转～",https://www.wenku8.net/book/4053.htm
"第五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302699,"话说当时我还不是主角",https://www.wenku8.net/book/1680.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302656,"穿越武士～武士在异世界依旧不改本色～",https://www.wenku8.net/book/3859.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302655,"间谍静静执起琴弓",https://www.wenku8.net/book/4052.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302654,"与组织宿敌的甜蜜婚后生活(和组织的宿敌婚后生活超甜)",https://www.wenku8.net/book/3825.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302653,"GLASS HEART",https://www.wenku8.net/book/4015.htm
"外典",https://www.wenku8.net/modules/article/reviewshow.php?rid=302652,"乐园杀手",https://www.wenku8.net/book/3533.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302651,"拼死回避全灭结局。队伍的精神出了问题。",https://www.wenku8.net/book/3743.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302650,"绝对城学长的妖怪学讲座",https://www.wenku8.net/book/1885.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302649,"侦探的五个季节",https://www.wenku8.net/book/4051.htm
"第十四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302603,"义妹生活",https://www.wenku8.net/book/2883.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302602,"被已经不需要育成技能的勇者队伍辞退，便试着把代替遣散费拿到的领土变强",https://www.wenku8.net/book/2979.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302600,"欢迎来到难攻不落的魔王城",https://www.wenku8.net/book/2912.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302599,"我被踢出勇者队伍而回到老家，但队员们竟然全都跟了过来",https://www.wenku8.net/book/3662.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302598,"来自未来的新娘姬城小姐，拜托我再来一次爱的告白。",https://www.wenku8.net/book/4050.htm
"第二十二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302453,"关于我转生变成史莱姆这档事(关于我转生成为史莱姆的那件事)",https://www.wenku8.net/book/1787.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302448,"被自由囚禁。",https://www.wenku8.net/book/4049.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302346,"不起眼王女的格差婚姻生活",https://www.wenku8.net/book/4048.htm
"第二十一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302345,"自称贤者弟子的贤者",https://www.wenku8.net/book/2537.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302303,"Influence·Incident",https://www.wenku8.net/book/4047.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302264,"佐口澌的祭品~异端的仪式~",https://www.wenku8.net/book/4046.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302224,"今夜也在吃茶渡渡鸟",https://www.wenku8.net/book/4045.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302223,"驱邪",https://www.wenku8.net/book/4044.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302156,"雨之塔",https://www.wenku8.net/book/4043.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302129,"废柴捡到圣剑的结果(渣渣捡了圣剑的结果)",https://www.wenku8.net/book/1902.htm
"第六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=302002,"造成我心理阴影的女生们今天也不时偷看我，只可惜为时已晚",https://www.wenku8.net/book/3287.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301961,"碱性劣等生",https://www.wenku8.net/book/3755.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301960,"国宝",https://www.wenku8.net/book/4042.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301930,"勇者斗恶龙 达伊的大冒险 各自的道路",https://www.wenku8.net/book/4041.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301859,"转生就是剑(转生成为魔剑)",https://www.wenku8.net/book/2309.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301858,"Shadow Taker",https://www.wenku8.net/book/2782.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301857,"邻国来的新娘太可爱了该怎么办？",https://www.wenku8.net/book/3845.htm
"第4.5卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301820,"劣等眼的转生魔术师 受虐的前勇者在未来世界从容生活",https://www.wenku8.net/book/2604.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301819,"夏天的少女归来了",https://www.wenku8.net/book/4040.htm
"短篇集",https://www.wenku8.net/modules/article/reviewshow.php?rid=301818,"我们不可能成为恋人！绝对不行。（※似乎可行？）(我怎么可能成为你的恋人，不行不行！)",https://www.wenku8.net/book/2751.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301817,"绝对城学长的妖怪学讲座",https://www.wenku8.net/book/1885.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301749,"生命的吃法",https://www.wenku8.net/book/4039.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301748,"渣男义务论 转生到十八禁游戏世界的我成为人渣反派，无论如何都想凭借原作知识的力量当个路人",https://www.wenku8.net/book/4038.htm
"第九卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301747,"转生就是剑(转生成为魔剑)",https://www.wenku8.net/book/2309.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301657,"哥布林千金与转生贵族的幸福之路 为了未婚妻竭尽所能运用前世知识",https://www.wenku8.net/book/3565.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301656,"朝比奈兔的解谜炼爱术",https://www.wenku8.net/book/4037.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301577,"朝比奈兔的解谜炼爱术",https://www.wenku8.net/book/4037.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301576,"小书痴的下克上：汉娜萝蕾贵族院五年级生",https://www.wenku8.net/book/4036.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301575,"图书馆天才少女～爱书的新人官吏以庞大知识救国！～",https://www.wenku8.net/book/4035.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301574,"十年后的同窗冰山美人",https://www.wenku8.net/book/4034.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301573,"极恶千金与十二只眼～最强侍从们与传说恶女，华丽再临的重生无双录～",https://www.wenku8.net/book/4033.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301524,"三叶物语 诅咒少女与死亡乱舞",https://www.wenku8.net/book/3603.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301523,"侦探扮演与不悦青春",https://www.wenku8.net/book/4032.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301430,"δ和γ的理学部笔记",https://www.wenku8.net/book/3933.htm
"第七卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301429,"我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)",https://www.wenku8.net/book/3519.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301428,"用催眠APP打造梦幻后宫生活",https://www.wenku8.net/book/4031.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301427,"spring",https://www.wenku8.net/book/4030.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301425,"钢琴师：「BLUE GIANT 蓝色巨星」雪祈物语",https://www.wenku8.net/book/4029.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301424,"雪的名字",https://www.wenku8.net/book/4028.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301423,"地狱模式～喜欢挑战特殊成就的玩家在废设定的异世界成为无双～",https://www.wenku8.net/book/4027.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301422,"花物语",https://www.wenku8.net/book/4026.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301421,"小梅，好想詛咒",https://www.wenku8.net/book/4025.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301348,"暗影闪耀于夜幕",https://www.wenku8.net/book/3708.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301347,"关于恶役千金",https://www.wenku8.net/book/4024.htm
"第二十八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301303,"加速世界",https://www.wenku8.net/book/381.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301255,"如果这就是“爱”，谁能告诉我“喜欢”的定义是什么？",https://www.wenku8.net/book/4023.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301150,"我与学生的禁断之吻。一旦曝光就完了。",https://www.wenku8.net/book/3882.htm
"第五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301149,"妹妹进入女骑士学园就读，不知为何成为救国英雄的人竟是我。",https://www.wenku8.net/book/3535.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301147,"京都文具店推理事件簿：真相就藏在墨水中",https://www.wenku8.net/book/4022.htm
"番外篇",https://www.wenku8.net/modules/article/reviewshow.php?rid=301104,"放课后的百物语",https://www.wenku8.net/book/934.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301103,"JOJO黄金之风外传 红色遗言",https://www.wenku8.net/book/4021.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301102,"原本只想当个安逸自在的魔女，却被史上最强的圣杖选上了。为什么！？",https://www.wenku8.net/book/4020.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=301101,"滨村渚的计算笔记(浜村渚的计算笔记)",https://www.wenku8.net/book/1626.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300984,"在无人车站等你",https://www.wenku8.net/book/4019.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300983,"事到如今，喜欢上了青梅竹马",https://www.wenku8.net/book/4018.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300936,"BLACK LAGOON 企业佣兵(黑礁)",https://www.wenku8.net/book/4001.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300935,"复制品的我也会谈恋爱(复制品也要谈恋爱)",https://www.wenku8.net/book/3469.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300879,"极致软弱千金小姐，不小心答应了精明未婚夫的赌局",https://www.wenku8.net/book/3943.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300878,"未命名 ##NAME##",https://www.wenku8.net/book/4017.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300877,"飘在班上的宇良良川同学",https://www.wenku8.net/book/4016.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300876,"乡下大叔成为剑圣～只是区区乡下剑术师傅，成大器的弟子们却不肯放过我～",https://www.wenku8.net/book/3688.htm
"第六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300875,"春夏秋冬代行者",https://www.wenku8.net/book/3110.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300874,"GLASS HEART",https://www.wenku8.net/book/4015.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300873,"快30岁才转职成为VTuber的故事。",https://www.wenku8.net/book/3836.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300770,"魔法师的搬家公司(魔女货拉拉)",https://www.wenku8.net/book/3617.htm
"第十六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300740,"在异世界获得超强能力的我，在现实世界照样无敌～等级提升改变人生命运～",https://www.wenku8.net/book/2931.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300739,"项圈套不住魔女",https://www.wenku8.net/book/3601.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300738,"被放逐的S级鉴定士打造了最强公会",https://www.wenku8.net/book/2914.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300705,"在揍爆向导天使之后，我当上了死灵术师",https://www.wenku8.net/book/4014.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300671,"被一群美少女英灵培育的我，成为人类王牌这件事",https://www.wenku8.net/book/4013.htm
"第二十六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300666,"八男？别闹了！",https://www.wenku8.net/book/1943.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300665,"被定罪的恶役千金回到过去成为完美恶女",https://www.wenku8.net/book/4012.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300664,"BLADE＆BASTARD",https://www.wenku8.net/book/3497.htm
"第二十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300663,"在地下城寻求邂逅是否搞错了什么(期待在地下城邂逅有错吗)",https://www.wenku8.net/book/1508.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300629,"阿尔戈 在地下城寻求邂逅是否搞错了什么 英雄谭",https://www.wenku8.net/book/4011.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300628,"我的公寓变成了地下城，那就驯服最强怪物轻松攻略吧",https://www.wenku8.net/book/4010.htm
"第十三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300627,"喜欢本大爷的竟然就你一个？(喜欢我的只有你)",https://www.wenku8.net/book/2176.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300517,"境界的Melody",https://www.wenku8.net/book/4009.htm
"第六卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300516,"成为悲剧元凶的最强异端，最后头目女王为了人民牺牲奉献",https://www.wenku8.net/book/3234.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300515,"转生为白猪贵族的我，运用前世记忆养育雏鸟般的弟弟",https://www.wenku8.net/book/4008.htm
"第八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300514,"世界顶尖的暗杀者转生为异世界贵族",https://www.wenku8.net/book/2761.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300480,"落第贤者的学院无双~二度转生的最强贤者于400年后的世界以魔剑御天下~",https://www.wenku8.net/book/3095.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300479,"你想活出怎样的人生",https://www.wenku8.net/book/3096.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300478,"再见宣言(再见宣言系列一)",https://www.wenku8.net/book/3098.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300477,"Memories Off Bridge(秋之回忆2)",https://www.wenku8.net/book/3109.htm
"第四卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300426,"这里是终末停滞委员会",https://www.wenku8.net/book/3947.htm
"短篇集",https://www.wenku8.net/modules/article/reviewshow.php?rid=300424,"不时轻声地以俄语遮羞的邻座艾莉同学(邻座的艾琳同学偶尔会用俄语悄悄撒娇)",https://www.wenku8.net/book/2930.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300423,"利他的玛丽",https://www.wenku8.net/book/3107.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300421,"我永远不会忘记，灿烂一瞬间的你",https://www.wenku8.net/book/3108.htm
"第十八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300418,"大传说中勇者的传说",https://www.wenku8.net/book/900.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300371,"GO！Princess光之美少女 花与蕾菲的冒险",https://www.wenku8.net/book/4007.htm
"第五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300370,"魔界归来的劣等能力者",https://www.wenku8.net/book/3026.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300368,"海中的金丝雀",https://www.wenku8.net/book/4006.htm
"第十一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300306,"转生后的大圣女，极力隐瞒圣女的身分(转生了的大圣女，拼死隐瞒自己身为圣女)",https://www.wenku8.net/book/2767.htm
"短篇集",https://www.wenku8.net/modules/article/reviewshow.php?rid=300305,"我们不可能成为恋人！绝对不行。（※似乎可行？）(我怎么可能成为你的恋人，不行不行！)",https://www.wenku8.net/book/2751.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300304,"创约 魔法禁书目录",https://www.wenku8.net/book/2728.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300303,"一周后，我会杀了你",https://www.wenku8.net/book/3733.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300302,"坏胎",https://www.wenku8.net/book/4005.htm
"第二十五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300216,"欢迎来到实力至上主义的教室",https://www.wenku8.net/book/1973.htm
"第三卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300179,"我心爱之人的妹妹",https://www.wenku8.net/book/3763.htm
"第十五卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300178,"药师少女的独语",https://www.wenku8.net/book/2654.htm
"短篇集",https://www.wenku8.net/modules/article/reviewshow.php?rid=300133,"转生公主与天才千金的魔法革命(转生王女与天才千金的魔法革命)",https://www.wenku8.net/book/2756.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300132,"无能恶童王子只想活下去～虽然转生成恋爱RPG中的反派路人，但无视原作剧情，目标是成为世界最强～",https://www.wenku8.net/book/4004.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300131,"落第魔术师走向传说的无尽之路",https://www.wenku8.net/book/4003.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300065,"起司(再见宣言系列六)",https://www.wenku8.net/book/4002.htm
"第二卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300064,"联谊去凑人数的我，把不知为何没人追的前人气偶像国宝级美少女带回家了。",https://www.wenku8.net/book/3683.htm
"第八卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300063,"Silent Witch 沉默魔女的秘密(沉默的魔女)",https://www.wenku8.net/book/2964.htm
"第一卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300002,"BLACK LAGOON 企业佣兵(黑礁)",https://www.wenku8.net/book/4001.htm
"第十卷",https://www.wenku8.net/modules/article/reviewshow.php?rid=300001,"辣妹因为惩罚游戏才向我这个边缘人告白，但显然是真心爱上我了",https://www.wenku8.net/book/3112.htm
